Understanding Where Your Classifier Does Not Work,Wouter Duivesteijn (Leiden University);Julia Thaele;,"134040164,2679698691","FACT, the First G-APD Cherenkov Telescope, detects air showers induced by high-energetic cosmic particles. It is desirable to classify a shower as being induced by a gamma ray or a background particle. Generally, it is nontrivial to get any feedback on the real-life training task, but we can attempt to understand how our classifier works by investigating its performance on Monte Carlo simulated data. To this end, in this paper we present the SCaPE Soft Classifier Performance Evaluation model class for Exceptional Model Mining, which is a Local Pattern Mining framework devoted to highlighting unusual interplay between multiple targets. The SCaPE model class highlights subspaces of the search space where the classifier performs particularly well or poorly. These subspaces arrive in terms of conditions on attributes of the data, hence they come in a language a human understands, which should help us understand where our classifier does not work.",2015,European Conference on Principles of Data Mining and Knowledge Discovery,data mining;artificial intelligence;machine learning;simulation;computer science;
Logic-Based Incremental Process Mining,Stefano Ferilli (Logica);Domenico Redavid (University of Bari);Floriana Esposito (Logica);,"1970347819,1858401508,2122401555","Manually building process models is complex, costly and error-prone. Hence, the interest in process mining. Incremental adaptation of the models, and the ability to express/learn complex conditions on the involved tasks, are also desirable. First-order logic provides a single comprehensive and powerful framework for supporting all of the above. This paper presents a First-Order Logic incremental method for inferring process models. Its efficiency and effectiveness were proved with both controlled experiments and a real-world dataset.",2015,European Conference on Principles of Data Mining and Knowledge Discovery,data science;data mining;machine learning;computer science;
Bayesian Active Clustering with Pairwise Constraints,Yuanli Pei (Oregon State University);Li-Ping Liu (Oregon State University);Xiaoli Z. Fern (Oregon State University);,"2115949900,2422214769,2018589324","Clustering can be improved with pairwise constraints that specify similarities between pairs of instances. However, randomly select- ing constraints could lead to the waste of labeling effort, or even degrade the clustering performance. Consequently, how to actively select effec- tive pairwise constraints to improve clustering becomes an important problem, which is the focus of this paper. In this work, we introduce a Bayesian clustering model that learns from pairwise constraints. With this model, we present an active learning framework that iteratively selects the most informative pair of instances to query an oracle, and updates the model posterior based on the obtained pairwise constraints. We introduce two information-theoretic criteria for selecting informa- tive pairs. One selects the pair with the most uncertainty, and the other chooses the pair that maximizes the marginal information gain about the clustering. Experiments on benchmark datasets demonstrate the effec- tiveness of the proposed method over state-of-the-art.",2015,European Conference on Principles of Data Mining and Knowledge Discovery,constrained clustering;data mining;pattern recognition;machine learning;
Watch-It-Next: A Contextual TV Recommendation System,Michal Aharon (Yahoo!);Eshcar Hillel (Yahoo!);Amit Kagian (Yahoo!);Ronny Lempel (Yahoo!);Hayim Makabee (Yahoo!);Raz Nissim (Yahoo!);,"2229337692,1979048761,192200335,2249016471,535669270,2140874948","As consumers of television are presented with a plethora of available programming, improving recommender systems in this domain is becoming increasingly important. Television sets, though, are often shared by multiple users whose tastes may greatly vary. Recommendation systems are challenged by this setting, since viewing data is typically collected and modeled per device, aggregating over its users and obscuring their individual tastes. This paper tackles the challenge of TV recommendation, specifically aiming to provide recommendations for the next program to watch following the currently watched program the device. We present an empirical evaluation of several recommendation methods over large-scale, real-life TV viewership data. Our extentions of common state-of-the-art recommendation methods, exploiting the current watching context, demonstrate a significant improvement in recommendation quality.",2015,European Conference on Principles of Data Mining and Knowledge Discovery,multimedia;world wide web;data mining;
Scavenger --- A Framework for Efficient Evaluation of Dynamic and Modular Algorithms,Andrey Tyukin (University of Mainz);Stefan Kramer (University of Mainz);Jörg Wicker (University of Mainz);,"2672329272,2272282606,2166053766","Machine Learning methods and algorithms are often highly modular in the sense that they rely on a large number of subalgorithms that are in principle interchangeable. For example, it is often possible to use various kinds of pre- and post-processing and various base classifiers or regressors as components of the same modular approach. We propose a framework, called Scavenger, that allows evaluating whole families of conceptually similar algorithms efficiently. The algorithms are represented as compositions, couplings and products of atomic subalgorithms. This allows partial results to be cached and shared between different instances of a modular algorithm, so that potentially expensive partial results need not be recomputed multiple times. Furthermore, our framework deals with issues of the parallel execution, load balancing, and with the backup of partial results for the case of implementation or runtime errors. Scavenger is licensed under the GPLv3 and can be downloaded freely at https://github.com/jorro/scavenger.",2015,European Conference on Principles of Data Mining and Knowledge Discovery,theoretical computer science;distributed computing;machine learning;simulation;computer science;
HierCost: Improving Large Scale Hierarchical Classification with Cost Sensitive Learning,Anveshi Charuvaka (George Mason University);Huzefa Rangwala (George Mason University);,"328326435,2096698710",-,2015,European Conference on Principles of Data Mining and Knowledge Discovery,pattern recognition;
Multidimensional Prediction Models When the Resolution Context Changes,Adolfo Martínez-Usó (Polytechnic University of Valencia);José Hernández-Orallo (Polytechnic University of Valencia);,"221371695,309815489","Multidimensional data is systematically analysed at multiple granularities by applying aggregate and disaggregate operators e.g., by the use of OLAP tools. For instance, in a supermarket we may want to predict sales of tomatoes for next week, but we may also be interested in predicting sales for all vegetables higher up in the product hierarchy for next Friday lower down in the time dimension. While the domain and data are the same, the operating context is different. We explore several approaches for multidimensional data when predictions have to be made at different levels or contexts of aggregation. One method relies on the same resolution, another approach aggregates predictions bottom-up, a third approach disaggregates predictions top-down and a final technique corrects predictions using the relation between levels. We show how these strategies behave when the resolution context changes, using several machine learning techniques in four application domains.",2015,European Conference on Principles of Data Mining and Knowledge Discovery,data science;data mining;database;computer science;
A Practical Approach to Reduce the Learning Bias Under Covariate Shift,Van-Tinh Tran (University of Lyon);Alex Aussem (University of Lyon);,"2475817864,1210402752","Covariate shift is a specific class of selection bias that arises when the marginal distributions of the input features X are different in the source and the target domains while the conditional distributions of the target Y given X are the same. A common technique to deal with this problem, called importance weighting, amounts to reweighting the training instances in order to make them resemble the test distribution. However this usually comes at the expense of a reduction of the effective sample size. In this paper, we show analytically that, while the unweighted model is globally more biased than the weighted one, it may locally be less biased on low importance instances. In view of this result, we then discuss a manner to optimally combine the weighted and the unweighted models in order to improve the predictive performance in the target domain. We conduct a series of experiments on synthetic and real-world data to demonstrate the efficiency of this approach.",2015,European Conference on Principles of Data Mining and Knowledge Discovery,econometrics;machine learning;statistics;mathematics;
Temporally Coherent Role-Topic Models TCRTM: Deinterlacing Overlapping Activity Patterns,Evgeniy Bart (PARC);Bob Price (PARC);John Hanley (PARC);,"2182634394,2646703982,2109103318","The Temporally Coherent Role-Topic Model TCRTM is a probabilistic graphical model for analyzing overlapping, loosely temporally structured activities in heterogeneous populations. Such structure appears in many domains where activities have temporal coherence, but no strong ordering. For instance, editing a PowerPoint presentation may involve opening files, typing text, and downloading images. These events occur together in time, but without fixed ordering or duration. Further, several different activities may overlap --- the user might check email while editing the presentation. Finally, the user population has subgroups; for example, managers, salespeople and engineers have different activity distributions. TCRTM automatically infers an appropriate set of roles and activity types, and segments users' event streams into high-level activity instance descriptions. On two real-world datasets involving computer user monitoring and debit card transactions we show that TCRTM extracts semantically meaningful structure and improves hold-out perplexity score by a factor of five compared to standard models.",2015,European Conference on Principles of Data Mining and Knowledge Discovery,multimedia;world wide web;data mining;machine learning;computer science;
Weighted Rank Correlation: A Flexible Approach Based on Fuzzy Order Relations,Sascha Henzgen (University of Paderborn);Eyke Hüllermeier (University of Paderborn);,"2616966722,323026139","Measures of rank correlation are commonly used in statistics to capture the degree of concordance between two orderings of the same set of items. Standard measures like Kendall's tau and Spearman's rho coefficient put equal emphasis on each position of a ranking. Yet, motivated by applications in which some of the positions typically those on the top are more important than others, a few weighted variants of these measures have been proposed. Most of these generalizations fail to meet desirable formal properties, however. Besides, they are often quite inflexible in the sense of committing to a fixed weighing scheme. In this paper, we propose a weighted rank correlation measure on the basis of fuzzy order relations. Our measure, called scaled gamma, is related to Goodman and Kruskal's gamma rank correlation. It is parametrized by a fuzzy equivalence relation on the rank positions, which in turn is specified conveniently by a so-called scaling function. This approach combines soundness with flexibility: it has a sound formal foundation and allows for weighing rank positions in a flexible way. The usefulness of our class of weighted rank correlation measures is shown by means of experimental studies using both synthetic and real-world ranking data.",2015,European Conference on Principles of Data Mining and Knowledge Discovery,ordinal association;rank reversals in decision making;rank correlation;combinatorics;data mining;artificial intelligence;machine learning;statistics;mathematics;
Solving Prediction Games with Parallel Batch Gradient Descent,Michael Großhans;Tobias Scheffer (University of Potsdam);,"2634553427,1974974032",-,2015,European Conference on Principles of Data Mining and Knowledge Discovery,stochastic gradient descent;gradient method;distributed computing;machine learning;mathematical optimization;
An Empirical Investigation of Minimum Probability Flow Learning Under Different Connectivity Patterns,Daniel Jiwoong Im (University of Guelph);Ethan Buchman (University of Guelph);Graham W. Taylor (University of Guelph);,"2202013318,2099977998,2470130636",-,2015,European Conference on Principles of Data Mining and Knowledge Discovery,pattern recognition;machine learning;statistics;
Listener-Aware Music Recommendation from Sensor and Social Media Data,Markus Schedl (Johannes Kepler University of Linz);,2012618226,"Music recommender systems are lately seeing a sharp increase in popularity due to many novel commercial music streaming services. Most systems, however, do not decently take their listeners into account when recommending music items. In this note, we summarize our recent work and report our latest findings on the topics of tailoring music recommendations to individual listeners and to groups of listeners sharing certain characteristics. We focus on two tasks: context-aware automatic playlist generation also known as serial recommendation using sensor data and music artist recommendation using social media data.",2015,European Conference on Principles of Data Mining and Knowledge Discovery,multimedia;world wide web;speech recognition;computer science;
Multi-view Semantic Learning for Data Representation,Peng Luo (Northwest University);Jinye Peng (Northwest University);Ziyu Guan (Northwest University);Jianping Fan (University of North Carolina at Charlotte);,"1929035476,2678127663,2163043385,2656602490",-,2015,European Conference on Principles of Data Mining and Knowledge Discovery,representation term;semantic compression;semantic computing;semantic equivalence;semantic analytics;multinet;semantic grid;semantic technology;semantic interoperability;probabilistic latent semantic analysis;semantic gap;semantic similarity;natural language processing;pattern recognition;
Learning Pretopological Spaces for Lexical Taxonomy Acquisition,Guillaume Cleuziou (University of Orléans);Gaël Dias (University of Caen Lower Normandy);,"241157070,2658899117","In this paper, we propose a new methodology for semi-supervised acquisition of lexical taxonomies. Our approach is based on the theory of pretopology that offers a powerful formalism to model semantic relations and transforms a list of terms into a structured term space by combining different discriminant criteria. In order to learn a parameterized pretopological space, we define the Learning Pretopological Spaces strategy based on genetic algorithms. In particular, rare but accurate pieces of knowledge are used to parameterize the different criteria defining the pretopological term space. Then, a structuring algorithm is used to transform the pretopological space into a lexical taxonomy. Results over three standard datasets evidence improved performances against state-of-the-art associative and pattern-based approaches.",2015,European Conference on Principles of Data Mining and Knowledge Discovery,natural language processing;data mining;artificial intelligence;machine learning;mathematics;
Sparse Bayesian Recurrent Neural Networks,Sotirios P. Chatzis (Cyprus University of Technology);,2328971761,"Recurrent neural networks RNNs have recently gained renewed attention from the machine learning community as effective methods for modeling variable-length sequences. Language modeling, handwriting recognition, and speech recognition are only few of the application domains where RNN-based models have achieved the state-of-the-art performance currently reported in the literature. Typically, RNN architectures utilize simple linear, logistic, or softmax output layers to perform data modeling and prediction generation. In this work, for the first time in the literature, we consider using a sparse Bayesian regression or classification model as the output layer of RNNs, inspired from the automatic relevance determination ARD technique. The notion of ARD is to continually create new components while detecting when a component starts to overfit, where overfit manifests itself as a precision hyperparameter posterior tending to infinity. This way, our method manages to train sparse RNN models, where the number of effective ""active"" recurrently connected hidden units is selected in a data-driven fashion, as part of the model inference procedure. We develop efficient and scalable training algorithms for our model under the stochastic variational inference paradigm, and derive elegant predictive density expressions with computational costs comparable to conventional RNN formulations. We evaluate our approach considering its application to challenging tasks dealing with both regression and classification problems, and exhibit its favorable performance over the state-of-the-art.",2015,European Conference on Principles of Data Mining and Knowledge Discovery,data mining;pattern recognition;artificial intelligence;machine learning;statistics;computer science;
MultiNets: Web-Based Multilayer Network Visualization,Matija Piškorec;Borut Sluban;Tomislav Šmuc;,"2661128813,2699865172,2608039356","This paper presents MultiNets: a Javascript library for multilayer network visualization. MultiNets provides reusable HTML components with functions for loading, manipulation and visualization of multilayered networks. These components can be easily incorporated into any web page, and they allow users to perform exploratory analysis of multilayer networks and prepare publication quality network visualizations. MultiNets components are easily extendable to provide custom-based visualizations, such as embedding networks on geographical maps, and can be used for building complex web-based graphical user interfaces for data mining services that operate on multilayered networks and multirelational data in general.",2015,European Conference on Principles of Data Mining and Knowledge Discovery,graph drawing;theoretical computer science;world wide web;data mining;computer science;
Monitoring Production Equipment in Remote Locations,Ujval Kamath (TIBCO Software);Ana Costa E Silva (TIBCO Software);Michael O'Connell (TIBCO Software);,"2552021897,2710768529,2554630660","Within the context of Remote Equipment Monitoring, the specific customer implementation of this project has been in the area of an upstream oil and gas process. The goal was to improve the efficiency of ESP Electric Submersible Pump oil & gas production, by predicting rather than just reacting to ESP shutdown and failure and thus avoiding downtime which results in a loss of production as well as repair costs. Please see Figurei¾?1 for an illustration of an ESP.",2015,European Conference on Principles of Data Mining and Knowledge Discovery,real time computing;simulation;
Markov Blanket Discovery in Positive-Unlabelled and Semi-supervised Data,Konstantinos Sechidis (University of Manchester);Gavin Brown (University of Manchester);,"2197070714,2589362712","The importance of Markov blanket discovery algorithms istwofold: as the main building block in constraint-based structure learn-ing of Bayesian network algorithms and as a technique to derive theoptimal set of features in filter feature selection approaches. Equally,learning from partially labelled data is a crucial and demanding area ofmachine learning, and extending techniques from fully to partially super-vised scenarios is a challenging problem. While there are many differentalgorithms to derive the Markov blanket of fully supervised nodes, thepartially-labelled problem is far more challenging, and there is a lack ofprincipled approaches in the literature. Our work derives a generaliza-tion of the conditional tests of independence for partially labelled binarytarget variables, which can handle the two main partially labelled scenar-ios:positive-unlabelled and semi-supervised.The result is a significantlydeeper understanding of how to control false negative errors in MarkovBlanket discovery procedures and how unlabelled data can help.",2015,European Conference on Principles of Data Mining and Knowledge Discovery,markov blanket;mutual information;data mining;pattern recognition;machine learning;statistics;mathematics;
Hash Function Learning via Codewords,Yinjie Huang (University of Central Florida);Michael Georgiopoulos (University of Central Florida);Georgios C. Anagnostopoulos (Florida Institute of Technology);,"2131262428,673942444,2003447744","In this paper we introduce a novel hash learning frame- work that has two main distinguishing features, when compared to past approaches. First, it utilizes codewords in the Hamming space as ancil- lary means to accomplish its hash learning task. These codewords, which are inferred from the data, attempt to capture similarity aspects of the data's hash codes. Secondly and more importantly, the same frame- work is capable of addressing supervised, unsupervised and, even, semi- supervised hash learning tasks in a natural manner. A series of compar- ative experiments focused on content-based image retrieval highlights its performance advantages.",2015,European Conference on Principles of Data Mining and Knowledge Discovery,k independent hashing;rolling hash;swifft;hash filter;feature hashing;double hashing;hash tree;perfect hash function;hash function;theoretical computer science;world wide web;machine learning;computer science;
Proceedings of the ECML/PKDD 2015 Discovery Challenges,Hao Song;Peter A Flach (University of Bristol);,"2290010651,1814273096",-,2015,European Conference on Principles of Data Mining and Knowledge Discovery,-
"Ridge Regression, Hubness, and Zero-Shot Learning",Yutaro Shigeto (Nara Institute of Science and Technology);Ikumi Suzuki (Institute of Statistical Mathematics);Kazuo Hara (National Institute of Genetics);Masashi Shimbo (Nara Institute of Science and Technology);Yuji Matsumoto (Nara Institute of Science and Technology);,"2002318983,2096205718,2690181112,959635298,2131749055","This paper discusses the effect of hubness in zero-shot learn- ing, when ridge regression is used to find a mapping between the exam- ple space to the label space. Contrary to the existing approach, which attempts to find a mapping from the example space to the label space, we show that mapping labels into the example space is desirable to sup- press the emergence of hubs in the subsequent nearest neighbor search step. Assuming a simple data model, we prove that the proposed app- roach indeed reduces hubness. This was verified empirically on the tasks of bilingual lexicon extraction and image labeling: hubness was reduced with both of these tasks and the accuracy was improved accordingly.",2015,European Conference on Principles of Data Mining and Knowledge Discovery,artificial intelligence;machine learning;statistics;algorithm;computer science;mathematics;
Adaptive Stochastic Primal-Dual Coordinate Descent for Separable Saddle Point Problems,Zhanxing Zhu (University of Edinburgh);Amos J. Storkey (University of Edinburgh);,"2224928135,1549069270","We consider a generic convex-concave saddle point problem with separable structure, a form that covers a wide-ranged machine learning applications. Under this problem structure, we follow the framework of primal-dual updates for saddle point problems, and incorporate stochastic block coordinate descent with adaptive stepsize into this framework. We theoretically show that our proposal of adaptive stepsize potentially achieves a sharper linear convergence rate compared with the existing methods. Additionally, since we can select ""mini-batch"" of block coordinates to update, our method is also amenable to parallel processing for large-scale data. We apply the proposed method to regularized empirical risk minimization and show that it performs comparably or, more often, better than state-of-the-art methods on both synthetic and real-world data sets.",2015,European Conference on Principles of Data Mining and Knowledge Discovery,discrete mathematics;combinatorics;mathematical optimization;mathematics;
Unsupervised feature analysis with class margin optimization,"Sen Wang (University of Queensland);Feiping Nie (Northwestern Polytechnical University);Xiaojun Chang (University of Technology, Sydney);Lina Yao (University of Adelaide);Xue Li (University of Queensland);Quan Z. Sheng (University of Adelaide);","2190973644,2245267964,2145609423,2223456168,2239470812,1740996049","Unsupervised feature selection has been always attracting research attention in the communities of machine learning and data mining for decades. In this paper, we propose an unsupervised feature selection method seeking a feature coefficient matrix to select the most distinctive features. Specifically, our proposed algorithm integrates the Maximum Margin Criterion with a sparsity-based model into a joint framework, where the class margin and feature correlation are taken into account at the same time. To maximize the total data separability while preserving minimized within-class scatter simultaneously, we propose to embed Kmeans into the framework generating pseudo class label information in a scenario of unsupervised feature selection. Meanwhile, a sparsity-based model, ` 2 ,p-norm, is imposed to the regularization term to effectively discover the sparse structures of the feature coefficient matrix. In this way, noisy and irrelevant features are removed by ruling out those features whose corresponding coefficients are zeros. To alleviate the local optimum problem that is caused by random initializations of K-means, a convergence guaranteed algorithm with an updating strategy for the clustering indicator matrix, is proposed to iteractively chase the optimal solution. Performance evaluation is extensively conducted over six benchmark data sets. From plenty of experimental results, it is demonstrated that our method has superior performance against all other compared approaches.",2015,European Conference on Principles of Data Mining and Knowledge Discovery,feature;data mining;pattern recognition;machine learning;mathematics;
M-Flash: Fast Billion-scale Graph Computation Using a Bimodal Block Processing Model,Hugo Gualdron (University of São Paulo);Robson Cordeiro (University of São Paulo);Jose Rodrigues-Jr (University of São Paulo);Duen Chau (Georgia Institute of Technology);Minsuk Kahng (Georgia Institute of Technology);U Kang (Seoul National University);,"2723981111,2165171050,2474751978,2465072871,2238818493,2667720660","Recent graph computation approaches have demonstrated that a single PC can perform efficiently on billion-scale graphs. While these approaches achieve scalability by optimizing I/O operations, they do not fully exploit the capabilities of modern hard drives and processors. To overcome their performance, in this work, we introduce the Bimodal Block Processing (BBP), an innovation that is able to boost the graph computation by minimizing the I/O cost even further. With this strategy, we achieved the following contributions: (1) M-Flash, the fastest graph computation framework to date; (2) a flexible and simple programming model to easily implement popular and essential graph algorithms, including the first single-machine billion-scale eigensolver; and (3) extensive experiments on real graphs with up to 6.6 billion edges, demonstrating M-Flash's consistent and significant speedup.",2015,European Conference on Principles of Data Mining and Knowledge Discovery,graph bandwidth;theoretical computer science;distributed computing;algorithm;computer science;
Maximum Entropy Linear Manifold for Learning Discriminative Low-Dimensional Representation,Wojciech Marian Czarnecki (Jagiellonian University);Rafał Józefowicz (Google);Jacek Tabor (Jagiellonian University);,"2283153510,2241764882,1921595338","Representation learning is currently a very hot topic in mod- ern machine learning, mostly due to the great success of the deep learning methods. In particular low-dimensional representation which discrimi- nates classes can not only enhance the classification procedure, but also make it faster, while contrary to the high-dimensional embeddings can be efficiently used for visual based exploratory data analysis. In this paper we propose Maximum Entropy Linear Manifold (MELM), a multidimensional generalization of Multithreshold Entropy Linear Classifier model which is able to find a low-dimensional linear data projection maximizing discriminativeness of projected classes. As a result we obtain a linear embedding which can be used for classification, class aware dimensionality reduction and data visualization. MELM pro- vides highly discriminative 2D projections of the data which can be used as a method for constructing robust classifiers. We provide both empirical evaluation as well as some interesting theoretical properties of our objective function such us scale and affine transformation invariance, connections with PCA and bounding of the expected balanced accuracy error.",2015,European Conference on Principles of Data Mining and Knowledge Discovery,pattern recognition;machine learning;mathematical optimization;statistics;mathematics;
"Multiple Incomplete Views Clustering via Weighted Nonnegative Matrix Factorization with L 2,1 Regularization",Weixiang Shao (University of Illinois at Chicago);Lifang He (Shenzhen University);Philip S. Yu (University of Illinois at Chicago);,"2151340973,2555188826,2125104194","With the advance of technology, data are often with mul- tiple modalities or coming from multiple sources. Multi-view clustering provides a natural way for generating clusters from such data. Although multi-view clustering has been successfully applied in many applications, most of the previous methods assumed the completeness of each view (i.e., each instance appears in all views). However, in real-world appli- cations, it is often the case that a number of views are available for learning but none of them is complete. The incompleteness of all the views and the number of available views make it difficult to integrate all the incomplete views and get a better clustering solution. In this paper, we propose MIC (Multi-Incomplete-view Clustering), an algorithm based on weighted nonnegative matrix factorization with L2,1 regularization. The proposed MIC works by learning the latent feature matrices for all the views and generating a consensus matrix so that the difference between each view and the consensus is minimized. MIC has several advantages comparing with other existing methods. First, MIC incorpo- rates weighted nonnegative matrix factorization, which handles the miss- ing instances in each incomplete view. Second, MIC uses a co-regularized approach, which pushes the learned latent feature matrices of all the views towards a common consensus. By regularizing the disagreement between the latent feature matrices and the consensus, MIC can be easily extended to more than two incomplete views. Third, MIC incorporates L2,1 regularization into the weighted nonnegative matrix factorization, which makes it robust to noises and outliers. Forth, an iterative optimiza- tion framework is used in MIC, which is scalable and proved to converge. Experiments on real datasets demonstrate the advantages of MIC.",2015,European Conference on Principles of Data Mining and Knowledge Discovery,discrete mathematics;data mining;machine learning;mathematical optimization;computer science;mathematics;
Subjectively interesting alternative clusterings,Kleanthis-Nikolaos Kontonasios (University of Bristol);Tijl De Bie (University of Bristol);,"1996008567,2080198120","We deploy a recently proposed framework for mining subjectively interesting patterns from data to the problem of alternative clustering, where patterns are sets of clusters (clusterings) in the data. This framework outlines how subjective interestingness of patterns (here, clusterings) can be quantified using sound information theoretic concepts. We demonstrate how it motivates a new objective function quantifying the interestingness of a clustering, automatically accounting for a user's prior beliefs and for redundancies between the discovered patterns. Directly searching for the optimal set of clusterings defined in this way is hard. However, the optimization problem can be solved approximately if clusterings are generated iteratively. In this iterative scheme, each subsequent clustering is maximally interesting given the whole set of previously generated clusterings, automatically trading off interestingness with non-redundancy. Although generating each clustering in an iterative fashion is computationally hard as well, we develop an approximation technique similar to spectral clustering algorithms. Our method can generate as many clusterings as the user requires. Subjective evaluation or the value of the objective function can guide the termination of the process. In addition our method allows varying the number of clusters in each successive clustering. Experiments on artificial and real-world datasets show that the mined clusterings fulfill the requirements of a good clustering solution by being both non-redundant and of high compactness. Comparison with existing solutions shows that our approach compares favourably with regard to well-known objective measures of similarity and quality of clusterings, even though it is not designed to directly optimize them.",2015,European Conference on Principles of Data Mining and Knowledge Discovery,knowledge extraction;data mining;pattern recognition;machine learning;computer science;mathematics;
Bayesian Active Learning with Evidence-Based Instance Selection,Niall J Twomey (University of Bristol);Tom Diethe (University of Bristol);Peter A Flach (University of Bristol);,"2013109826,2570005750,1814273096",-,2015,European Conference on Principles of Data Mining and Knowledge Discovery,online machine learning;preference learning;inductive transfer;active learning;competitive learning;bayesian probability;active learning;learning classifier system;semi supervised learning;instance based learning;unsupervised learning;pattern recognition;machine learning;
Multi-label Classification by Label Clustering based on Covariance,Reem M Alotaibi (University of Bristol);Meelis Kull (University of Bristol);Peter A Flach (University of Bristol);,"2060694041,2588360585,1814273096",-,2015,European Conference on Principles of Data Mining and Knowledge Discovery,correlation clustering;cluster analysis;
Preliminary Experimental Analysis of Reservoir Computing Approach for Balance Assessment,Claudio Gallicchio (University of Pisa);Alessio Micheli (University of Pisa);Luca Pedrelli (University of Pisa);Federico Vozzi (National Research Council);Oberdan Parodi (National Research Council);,"1971686222,2130169099,2216614294,2305464261,2494658619","Evaluation of balance stability in elderly people is of promi- nent relevance in the eld of health monitoring. Recently, the use of Wii Balance Board has been proposed as valid alternative to clinical balance tests, such as the widely used Berg Balance Scale (BBS) test, allowing to measure and analyze static features such as the duration or the speed of assessment of patients' center of pressure. In an innovative way, in this paper we propose to take into consideration the whole temporal information generated by the balance board, analyzing it by means of dynamical neural networks. In particular, using Recurrent Neural Net- works implemented according to the Reservoir Computing paradigm, we propose to estimate the BBS score from the temporal data generated by the execution of one simple exercise on the balance board. Prelimi- nary experimental assessments of the proposed approach on a real-world dataset show promising results.",2015,European Conference on Principles of Data Mining and Knowledge Discovery,reservoir computing;data mining;artificial intelligence;machine learning;simulation;computer science;
Parameter Learning of Bayesian Network Classifiers Under Computational Constraints,Sebastian Tschiatschek (ETH Zurich);Franz Pernkopf (Graz University of Technology);,"341038388,199276077",-,2015,European Conference on Principles of Data Mining and Knowledge Discovery,variable order bayesian network;random subspace method;computational learning theory;pattern recognition;machine learning;statistics;
Prediction of bike rental using model reuse strategy,Arun Bala Subramaniyan (Arizona State University);Rong Pan;,"2396905866,2395103153",-,2015,European Conference on Principles of Data Mining and Knowledge Discovery,simulation;
Gaussian Process Pseudo-Likelihood Models for Sequence Labeling,P. K. Srijith (University of Sheffield);P Balamurugan (French Institute for Research in Computer Science and Automation);Shirish Krishnaj Shevade (Indian Institute of Science);,"423720282,2563353755,2054697475",Several machine learning problems arising in natural language processing can be modeled as a sequence labeling problem. We provide Gaussian process models based on pseudo-likelihood approximation to perform sequence labeling. Gaussian processes (GPs) provide a Bayesian approach to learning in a kernel based framework. The pseudo-likelihood model enables one to capture long range dependencies among the output components of the sequence without becoming computationally intractable. We use an efficient variational Gaussian approximation method to perform inference in the proposed model. We also provide an iterative algorithm which can effectively make use of the information from the neighboring labels to perform prediction. The ability to capture long range dependencies makes the proposed approach useful for a wide range of sequence labeling problems. Numerical experiments on some sequence labeling data sets demonstrate the usefulness of the proposed approach.,2014,European Conference on Principles of Data Mining and Knowledge Discovery,sequence labeling;pattern recognition;machine learning;mathematical optimization;mathematics;
Difference Target Propagation,Dong-Hyun Lee (Université de Montréal);Saizheng Zhang (Université de Montréal);Asja Fischer (Université de Montréal);Yoshua Bengio (Université de Montréal);,"2291638929,2116565841,2648165691,161269817","Back-propagation has been the workhorse of recent successes of deep learning but it relies on infinitesimal effects (partial derivatives) in order to perform credit assignment. This could become a serious issue as one considers deeper and more non-linear functions, e.g., consider the extreme case of non-linearity where the relation between parameters and cost is actually discrete. Inspired by the biological implausibility of back-propagation, a few approaches have been proposed in the past that could play a similar credit assignment role. In this spirit, we explore a novel approach to credit assignment in deep networks that we call target propagation. The main idea is to compute targets rather than gradients, at each layer. Like gradients, they are propagated backwards. In a way that is related but different from previously proposed proxies for back-propagation which rely on a backwards network with symmetric weights, target propagation relies on auto-encoders at each layer. Unlike back-propagation, it can be applied even when units exchange stochastic bits rather than real numbers. We show that a linear correction for the imperfectness of the auto-encoders, called difference target propagation, is very effective to make target propagation actually work, leading to results comparable to back-propagation for deep networks with discrete and continuous units and denoising auto-encoders and achieving state of the art for stochastic networks.",2014,European Conference on Principles of Data Mining and Knowledge Discovery,artificial intelligence;machine learning;simulation;statistics;algorithm;computer science;mathematics;
Scoring and Classifying with Gated Auto-encoders,Daniel Jiwoong Im (University of Guelph);Graham W. Taylor (University of Guelph);,"2202013318,2470130636","Auto-encoders are perhaps the best-known non-probabilistic methods for representation learning. They are conceptually simple and easy to train. Recent theoretical work has shed light on their ability to capture manifold structure, and drawn connections to density modelling. This has motivated researchers to seek ways of auto-encoder scoring, which has furthered their use in classification. Gated auto-encoders (GAEs) are an interesting and flexible extension of auto-encoders which can learn transformations among different images or pixel covariances within images. However, they have been much less studied, theoretically or empirically. In this work, we apply a dynamical systems view to GAEs, deriving a scoring function, and drawing connections to Restricted Boltzmann Machines. On a set of deep learning benchmarks, we also demonstrate their effectiveness for single and multi-label classification.",2014,European Conference on Principles of Data Mining and Knowledge Discovery,data mining;artificial intelligence;machine learning;statistics;computer science;
